epoch,test all,train all,test at least one,train at least one
0,0.23,0.26785714285714285,0.26,0.3107142857142857
1,0.37,0.4278571428571429,0.5399999999999999,0.5785714285714285
2,0.28,0.3507142857142857,0.32999999999999996,0.3971428571428572
3,0.63,0.7428571428571429,0.73,0.8385714285714285
4,0.34,0.5464285714285714,0.49000000000000005,0.6521428571428571
5,0.52,0.7435714285714285,0.62,0.7978571428571429
6,0.61,0.8214285714285714,0.7,0.875
7,0.65,0.785,0.74,0.84
8,0.58,0.7021428571428572,0.7,0.75
9,0.71,0.8114285714285714,0.78,0.8585714285714285
10,0.62,0.8057142857142857,0.7300000000000001,0.8742857142857143
11,0.65,0.8585714285714285,0.7799999999999999,0.9228571428571428
12,0.68,0.8957142857142857,0.78,0.9285714285714286
13,0.74,0.8992857142857142,0.82,0.915
14,0.58,0.7642857142857142,0.6799999999999999,0.7914285714285714
15,0.4,0.36642857142857144,0.51,0.44499999999999995
16,0.63,0.8964285714285715,0.74,0.9128571428571429
17,0.63,0.8792857142857143,0.74,0.9078571428571428
18,0.7,0.9557142857142857,0.7899999999999999,0.9628571428571429
19,0.76,0.9928571428571429,0.84,0.9942857142857143
20,0.74,0.995,0.86,0.9971428571428571
21,0.76,0.9971428571428571,0.85,0.9978571428571429
22,0.75,0.9871428571428571,0.86,0.9871428571428571
23,0.78,0.9928571428571429,0.87,0.9928571428571429
24,0.74,0.9992857142857143,0.85,0.9992857142857143
25,0.75,0.9942857142857143,0.83,0.9942857142857143
26,0.76,0.9957142857142857,0.87,0.9957142857142857
27,0.77,0.9985714285714286,0.87,0.9985714285714286
28,0.79,1.0,0.9,1.0
29,0.81,1.0,0.92,1.0
