epoch,test all,train all,test at least one,train at least one
0,0.66,0.625,0.75,0.7057142857142857
1,0.49,0.6157142857142858,0.6699999999999999,0.7257142857142858
2,0.61,0.6528571428571428,0.77,0.7385714285714287
3,0.57,0.6828571428571428,0.7200000000000001,0.7764285714285715
4,0.52,0.6007142857142858,0.64,0.6921428571428571
5,0.74,0.7771428571428571,0.78,0.8228571428571428
6,0.44,0.5585714285714286,0.5399999999999999,0.6328571428571429
7,0.36,0.4707142857142857,0.5,0.5707142857142857
8,0.25,0.335,0.37,0.445
9,0.42,0.59,0.47,0.6271428571428571
10,0.44,0.6521428571428571,0.52,0.6978571428571428
11,0.57,0.73,0.67,0.7685714285714286
12,0.57,0.7885714285714286,0.69,0.8242857142857143
13,0.64,0.8964285714285715,0.74,0.9092857142857143
14,0.7,0.9492857142857143,0.81,0.9585714285714286
15,0.74,0.9785714285714285,0.83,0.9835714285714287
16,0.74,0.9835714285714285,0.84,0.9885714285714285
17,0.76,0.9885714285714285,0.85,0.9921428571428571
18,0.77,0.9921428571428571,0.87,0.9928571428571429
19,0.77,0.995,0.87,0.9957142857142857
20,0.78,1.0,0.88,1.0
21,0.79,0.9992857142857143,0.89,1.0
22,0.76,1.0,0.86,1.0
23,0.77,1.0,0.87,1.0
24,0.78,1.0,0.87,1.0
25,0.77,1.0,0.87,1.0
26,0.78,1.0,0.89,1.0
27,0.77,1.0,0.87,1.0
28,0.74,1.0,0.87,1.0
29,0.75,1.0,0.87,1.0
