epoch,test all,train all,test at least one,train at least one
0,0.15,0.09142857142857143,0.15999999999999998,0.11857142857142855
1,0.02,0.03642857142857143,0.06999999999999995,0.06499999999999995
2,0.12,0.16785714285714284,0.19000000000000006,0.1992857142857143
3,0.49,0.5135714285714286,0.6000000000000001,0.6164285714285713
4,0.58,0.6364285714285715,0.72,0.7407142857142857
5,0.59,0.6871428571428572,0.75,0.797142857142857
6,0.71,0.6971428571428572,0.84,0.7957142857142857
7,0.62,0.7064285714285714,0.72,0.8007142857142857
8,0.69,0.7571428571428571,0.7799999999999999,0.8585714285714285
9,0.59,0.6135714285714285,0.6699999999999999,0.7035714285714285
10,0.61,0.6978571428571428,0.71,0.8207142857142857
11,0.63,0.7528571428571429,0.76,0.8378571428571429
12,0.53,0.6985714285714286,0.6599999999999999,0.7871428571428571
13,0.73,0.8307142857142857,0.8,0.8778571428571429
14,0.63,0.7878571428571428,0.74,0.8635714285714285
15,0.42,0.38571428571428573,0.49,0.45714285714285713
16,0.66,0.7521428571428571,0.76,0.8592857142857143
17,0.62,0.8107142857142857,0.7699999999999999,0.8821428571428571
18,0.66,0.8221428571428572,0.78,0.88
19,0.76,0.9442857142857143,0.86,0.9650000000000001
20,0.77,0.9635714285714285,0.86,0.9842857142857143
21,0.72,0.9685714285714285,0.86,0.99
22,0.74,0.9907142857142858,0.86,0.9957142857142857
23,0.73,0.9828571428571429,0.84,0.9907142857142858
24,0.74,0.9692857142857143,0.87,0.9814285714285714
25,0.79,0.9828571428571429,0.91,0.9964285714285714
26,0.72,0.9842857142857143,0.84,0.9921428571428572
27,0.71,0.99,0.83,0.9935714285714287
28,0.75,0.9914285714285714,0.87,0.9921428571428571
29,0.77,0.995,0.87,0.9957142857142857
